korridor_fra;korridor_til;id2;kvartal;weekday_indicator;time_of_day;reiser;co2_tonn
Paradis (Stavanger);Rennesøy;buss;2021-3;Weekday;16:30-20:00;0,048427900889070154;0,06987740966686383
Klepp;Hundvåg;gange;2024-3;Weekday;16:30-20:00;0,0;0,0
Ganddal (Sandnes);Bjergsted (Stavanger);buss;2024-4;Weekday;16:30-20:00;0,0;0,0
Solborg (Stavanger);Solborg (Stavanger);gange;2024-1;Weekend;Weekend;215,08852422517785;0,0
Bjergsted (Stavanger);Bjergsted (Stavanger);buss;2023-3;Weekday;05:30-08:30;0,22861636641204247;0,34962498166901496
Rennesøy;Nærbø;gange;2024-1;Weekend;Weekend;0,0;0,0
Jåsund (Sola);Sykehuset;sykkel;2025-1;Weekday;20:00-05:30;0,0;0,0
Stavanger sentrum;Madla;sykkel;2025-3;Weekday;05:30-08:30;1,3039138850070469;0,0
Klepp;Bjergsted (Stavanger);rail;2023-4;Weekend;Weekend;0,06496828012504119;
Jåsund (Sola);Forus;sykkel;2019-3;Weekday;16:30-20:00;1,7798979305760583;0,0
Paradis (Stavanger);Lura;gange;2023-4;Weekday;08:30-13:30;2,9750367499243775;0,0
Ganddal (Sandnes);Klepp;gange;2025-2;Weekend;Weekend;14,542592687577004;0,0
Rennesøy;Rennesøy;bil;2020-3;Weekday;13:30-16:30;45,150227620765946;45,08608165936192
Madla;Forus;sykkel;2024-4;Weekday;13:30-16:30;3,04781120862023;0,0
Sandnes sentrum;Rennesøy;buss;2020-1;Weekday;16:30-20:00;0,0;0,0
Forus;Solborg (Stavanger);buss;2025-1;Weekday;16:30-20:00;8,217327696944476;5,286205798220571
Bjergsted (Stavanger);Lura;gange;2025-1;Weekday;05:30-08:30;0,2993530398935935;0,0
Forus;Nærbø;sykkel;2024-4;Weekday;13:30-16:30;0,0;0,0
Solborg (Stavanger);Rennesøy;bil;2019-4;Weekday;05:30-08:30;0,8291058130215896;1,171956373472399
Paradis (Stavanger);Paradis (Stavanger);bil;2021-3;Weekday;08:30-13:30;238,6282796768955;27,627125095556572
Paradis (Stavanger);Madla;buss;2024-1;Weekday;20:00-05:30;0,0;0,0
Bjergsted (Stavanger);Hommersåk;buss;2023-1;Weekday;16:30-20:00;0,0;0,0
Hinnavågen;Jåsund (Sola);bil;2021-1;Weekday;13:30-16:30;36,8187622690479;0,0
Sola;Nærbø;sykkel;2025-4;Weekend;Weekend;0,08321329140039771;0,0
Jåsund (Sola);Hommersåk;buss;2022-1;Weekday;05:30-08:30;0,0404090670197107;0,07194270676374566
Hinnavågen;Hommersåk;bil;2020-3;Weekday;05:30-08:30;2,9377545059843904;6,97968307668611
Hundvåg;Hinnavågen;buss;2019-2;Weekday;05:30-08:30;0,4730806481622104;0,2321409784378371
Ganddal (Sandnes);Sykehuset;rail;2020-3;Weekday;05:30-08:30;4,2698774809679;0,0
Lura;Forus;buss;2023-4;Weekday;16:30-20:00;4,2945699354578935;0,4499107864749409
Dusavika (Randaberg);Jåsund (Sola);gange;2023-4;Weekday;08:30-13:30;30,12811728787769;0,0
Nærbø;Dusavika (Randaberg);buss;2025-3;Weekday;13:30-16:30;0,016943734499345067;0,037512604181709375
Paradis (Stavanger);Hommersåk;bil;2020-1;Weekday;08:30-13:30;5,18721986302973;12,146184860353529
Lura;Hinnavågen;sykkel;2026-1;Weekday;13:30-16:30;2,524346831539779;0,0
Sykehuset;Nærbø;bil;2019-3;Weekday;08:30-13:30;21,02677800410515;61,910308099042574
Rennesøy;Rennesøy;gange;2021-2;Weekday;16:30-20:00;19,548884945356537;0,0
Jåsund (Sola);Bjergsted (Stavanger);gange;2024-1;Weekday;05:30-08:30;3,598410199681817;0,0
Hinnavågen;Forus;bil;2022-4;Weekday;13:30-16:30;104,88455217163258;0,0
Klepp;Paradis (Stavanger);bil;2024-4;Weekday;08:30-13:30;5,229478694366643;9,97702450674561
Bjergsted (Stavanger);Lura;gange;2022-2;Weekday;16:30-20:00;2,280457746956384;0,0
Hommersåk;Sandnes sentrum;sykkel;2026-1;Weekday;08:30-13:30;0,810819948983681;0,0
Ganddal (Sandnes);Jåsund (Sola);bil;2024-3;Weekday;13:30-16:30;6,619746212383713;9,323138104613244
Klepp;Hundvåg;buss;2021-3;Weekday;05:30-08:30;0,20643090856362123;0,37401474252498573
Dusavika (Randaberg);Solborg (Stavanger);bil;2025-3;Weekday;20:00-05:30;0,0;0,0
Jåsund (Sola);Madla;buss;2025-1;Weekday;20:00-05:30;0,0;0,0
Hinnavågen;Paradis (Stavanger);buss;2025-3;Weekday;20:00-05:30;0,0;
Sandnes sentrum;Solborg (Stavanger);buss;2023-3;Weekday;16:30-20:00;0,08459164432088592;0,06127054828450798
Jåsund (Sola);Hommersåk;sykkel;2023-2;Weekday;16:30-20:00;0,0;0,0
Jåsund (Sola);Bjergsted (Stavanger);gange;2024-2;Weekday;13:30-16:30;1,8004473015949842;0,0
Paradis (Stavanger);Klepp;sykkel;2022-3;Weekday;13:30-16:30;0,0;0,0
Sandnes sentrum;Forus;rail;2024-3;Weekday;13:30-16:30;2,9102860318202945;0,0
